x,y,stake_id,drilldate,id,who,comment,abl_since_drilled
10.161,46.86549,1,2021-08-26 00:00:00.000000,0,lea,8m. Leicht nach oben versetzt. Koordinaten noch nicht angepasst.,117.0
10.160558,46.862643,2,2020-09-03 00:00:00.000000,1,-,-,430.0
10.168197,46.86114,3,2019-08-11 00:00:00.000000,2,-,-,453.0
10.1654,46.857021,4,2019-08-11 00:00:00.000000,3,-,-,381.0
10.15732,46.863198,5,2021-08-13 00:00:00.000000,4,lea,8m. Letzte rot.,130.0
10.158787,46.865699,6,2021-08-26 00:00:00.000000,5,lea,8m. Weiter oben neu gebohrt. Nach oben versetzt weil alter Pegel sehr nah am Rand und vermutlich bald weg. Letzte Stange alter Pegel steck noch im Eis an alter Position.,0.0
10.158519,46.864931,7,2020-08-11 00:00:00.000000,6,-,-,402.0
10.159364,46.865566,8,2021-08-26 00:00:00.000000,7,lea,"8m. Alte Stange entfernt, leicht versetzt neu gebohrt. Es kam sehr viel Wasser aus dem Loch, Pegel mit Steinen beschwert damit er nicht wegschwimmt. Wasser wie eine “Quelle”…",0.0
10.1577,46.864223,9,2020-09-03 00:00:00.000000,8,-,-,273.0
10.160014,46.863509,11,2021-07-21 00:00:00.000000,9,lea,8m. Stangen nicht gut beschriftet (dünner Stift). Letzte rot.,263.0
10.151444,46.862127,12,2019-08-12 00:00:00.000000,10,-,-,403.0
10.155654,46.861953,13,2020-09-03 00:00:00.000000,11,-,-,404.0
10.148031,46.861227,15oben,2019-08-05 00:00:00.000000,13,-,-,451.0
10.16675,46.854962,16,2019-08-11 00:00:00.000000,14,-,-,286.0
10.160802,46.86507,17,2020-08-11 00:00:00.000000,15,-,-,617.0
10.161826,46.853477,18,2019-08-11 00:00:00.000000,16,-,-,285.0
10.175246,46.859127,19,2019-09-12 00:00:00.000000,17,lea,2020 nicht gefunden. Wurde 2019 auf ca -20 eingebohrt. Erst 2021 wieder erschienen...,44.0
10.161355,46.850876,20,2019-08-06 00:00:00.000000,18,-,-,452.0
10.157063,46.859329,21,2020-09-10 00:00:00.000000,19,lea,test,309.0
10.162933,46.857895,22,2020-09-10 00:00:00.000000,20,-,-,242.0
10.146614,46.858947,23,2020-09-03 00:00:00.000000,21,-,-,90.0
10.145608,46.854481,25,2019-08-12 00:00:00.000000,22,-,-,20.0
10.155839,46.849802,26,2019-08-11 00:00:00.000000,23,-,-,116.0
10.176651,46.857966,27,2019-09-12 00:00:00.000000,24,-,-,110.0
10.149348,46.860931,15unten,2021-08-13 00:00:00.000000,25,lea,Neu gebohrt und vom Rand weg versetzt.,0.0
